id;ticket_code;price;qr_code;time_from;time_to;checked_in;status;exchange_status;refund_status;exchange_reason;refund_reason;exchange_requested_at;exchange_completed_at;refund_requested_at;refund_completed_at;refund_amount;refund_transaction_id;trip_id;route_id;seat_id;created_at;updated_at;is_deleted;deleted_at;deleted_by;qr_code_img_id;original_ticket_id;exchanged_ticket_id;booking_id
6011;TK20251101011;150000;QR_BANK_011_EFG123;2025-11-05 06:00:00;2025-11-05 10:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;111;211;2025-11-01 16:40:00;2025-11-01 16:40:00;2025-11-05 10:30:00;;NULL;11;;;3011
6012;TK20250225012;110000;QR_SEP_012_HIJ456;2025-03-01 13:00:00;2025-03-01 17:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;112;212;2025-02-25 17:10:00;2025-02-25 17:10:00;2025-02-25 17:10:00;;NULL;12;;;3012
6013;TK20250320013;142500;QR_VNPAY_013_KLM789;2025-03-25 09:00:00;2025-03-25 13:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;113;213;2025-03-20 18:20:00;2025-03-20 18:20:00;2025-03-25 13:30:00;;NULL;13;;;3013
6014;TK20250415014;103333;QR_MOMO_014_NOP012;2025-04-20 11:00:00;2025-04-20 15:00:00;1;EXCHANGE_REQUESTED;EXCHANGE_APPROVED;;Schedule change;NULL;2025-04-15 19:10:00;2025-04-16 10:00:00;NULL;NULL;NULL;NULL;1;214;1014;2025-04-16 10:00:00;2025-04-16 10:00:00;;;NULL;14;6015;;3014
6015;TK20250415015;103333;QR_EXCHANGE_015_QRS345;2025-04-20 13:00:00;2025-04-20 17:00:00;1;AVAILABLE;EXCHANGE_COMPLETED;;NULL;NULL;2025-04-16 10:00:00;NULL;NULL;NULL;NULL;NULL;1;214;1015;2025-04-20 17:30:00;2025-04-20 17:30:00;;;NULL;15;6014;;3014
6016;TK20250510016;175000;QR_CC_016_TUV678;2025-05-15 15:00:00;2025-05-15 19:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;115;215;2025-05-10 20:25:00;2025-05-10 20:25:00;2025-05-10 20:25:00;;NULL;16;;;3015
6017;TK20250605017;175000;QR_ZLP_017_WXY901;2025-06-10 08:00:00;2025-06-10 12:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;116;216;2025-06-05 21:10:00;2025-06-05 21:10:00;2025-06-05 21:10:00;;NULL;17;;;3016
6018;TK20250701018;113333;QR_BANK_018_ZAB234;2025-07-05 14:00:00;2025-07-05 18:00:00;1;CANCELLED;;;;;;;;NULL;NULL;NULL;1;117;217;2025-07-01 22:55:00;2025-07-01 22:55:00;2025-07-02 08:00:00;;NULL;18;;;3017
6019;TK20250820019;97500;QR_SEP_019_CDE567;2025-08-25 07:30:00;2025-08-25 11:30:00;1;CANCELLED;;;;;;;;NULL;NULL;NULL;1;118;218;2025-08-20 22:55:00;2025-08-20 22:55:00;2025-08-21 06:00:00;;NULL;19;;;3018
6020;TK20250910020;97500;QR_VNPAY_020_FGH890;2025-09-15 10:00:00;2025-09-15 14:00:00;1;EXPIRED;;;;;;;;NULL;NULL;NULL;1;119;219;2025-09-10 23:40:00;2025-09-10 23:40:00;2025-09-15 14:30:00;;NULL;20;;;3019
6021;TK20251015021;102500;QR_MOMO_021_IJK123;2025-10-20 12:00:00;2025-10-20 16:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;120;220;2025-10-16 00:10:00;2025-10-16 00:10:00;2025-10-16 00:10:00;;NULL;21;;;3020
6022;TK20251105022;102500;QR_CC_022_LMN456;2025-11-10 08:00:00;2025-11-10 12:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;121;221;2025-11-05 00:10:00;2025-11-05 00:10:00;2025-11-10 12:30:00;;NULL;22;;;3021
6023;TK20250125023;185000;QR_ZLP_023_OPQ789;2025-02-01 06:00:00;2025-02-01 10:00:00;1;CANCELLED;;;;;;;;NULL;NULL;NULL;1;122;222;2025-01-25 01:30:00;2025-01-25 01:30:00;2025-01-25 02:00:00;;NULL;23;;;3022
6024;TK20250215024;122500;QR_BANK_024_RST012;2025-02-20 15:00:00;2025-02-20 19:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;123;223;2025-02-15 02:40:00;2025-02-15 02:40:00;2025-02-15 02:40:00;;NULL;24;;;3023
6025;TK20250330025;106667;QR_SEP_025_UVW345;2025-04-05 08:00:00;2025-04-05 12:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;124;224;2025-03-30 03:10:00;2025-03-30 03:10:00;2025-04-05 12:30:00;;NULL;25;;;3024
6026;TK20250420026;91667;QR_VNPAY_026_XYZ678;2025-04-25 11:00:00;2025-04-25 15:00:00;1;REFUNDED;;REFUND_COMPLETED;;Trip cancellation;NULL;NULL;2025-05-10 06:00:00;2025-05-10 07:00:00;91667;REF_VNPAY_026;1;225;1026;2025-05-10 07:00:00;2025-05-10 07:00:00;;;NULL;26;;;3025
6027;TK20250510027;115000;QR_MOMO_027_ABC901;2025-05-15 14:00:00;2025-05-15 18:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;126;226;2025-05-10 06:55:00;2025-05-10 06:55:00;2025-05-15 18:30:00;;NULL;27;;;3026
6028;TK20250605028;97500;QR_CC_028_DEF234;2025-06-10 10:00:00;2025-06-10 14:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;127;227;2025-06-05 07:05:00;2025-06-05 07:05:00;2025-06-05 07:05:00;;NULL;28;;;3027
6029;TK20250701029;90000;QR_ZLP_029_GHI567;2025-07-05 09:00:00;2025-07-05 13:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;128;228;2025-07-01 07:10:00;2025-07-01 07:10:00;2025-07-05 13:30:00;;NULL;29;;;3028
6030;TK20250815030;127500;QR_BANK_030_JKL890;2025-08-20 07:00:00;2025-08-20 11:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;129;229;2025-08-15 08:10:00;2025-08-15 08:10:00;2025-08-20 11:30:00;;NULL;30;;;3029
6031;TK20250920031;167500;QR_SEP_031_MNO123;2025-09-25 15:00:00;2025-09-25 19:00:00;1;CANCELLED;;;;;;;;NULL;NULL;NULL;1;130;230;2025-09-20 09:25:00;2025-09-20 09:25:00;2025-09-20 10:00:00;;NULL;31;;;3030
6032;TK20251010032;111667;QR_VNPAY_032_PQR456;2025-10-15 08:30:00;2025-10-15 12:30:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;131;231;2025-10-10 10:40:00;2025-10-10 10:40:00;2025-10-15 12:45:00;;NULL;32;;;3031
6033;TK20251105033;161250;QR_MOMO_033_STU789;2025-11-10 13:00:00;2025-11-10 17:00:00;1;EXCHANGE_REQUESTED;EXCHANGE_REJECTED;;Medical emergency;NULL;2025-11-05 11:55:00;NULL;NULL;NULL;NULL;NULL;1;232;1033;2025-11-05 14:00:00;2025-11-05 14:00:00;;;NULL;33;;;3032
6034;TK20250125034;105000;QR_CC_034_VWX012;2025-02-02 11:00:00;2025-02-02 15:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;133;233;2025-01-25 13:00:00;2025-01-25 13:00:00;2025-02-02 15:30:00;;NULL;34;;;3033
6035;TK20250220035;108333;QR_ZLP_035_YZA345;2025-02-25 14:00:00;2025-02-25 18:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;134;234;2025-02-20 14:15:00;2025-02-20 14:15:00;2025-02-20 14:15:00;;NULL;35;;;3034
6036;TK20250315036;95000;QR_BANK_036_BCD678;2025-03-20 08:00:00;2025-03-20 12:00:00;1;REFUNDED;;REFUND_COMPLETED;;Customer request;NULL;NULL;2025-04-10 16:30:00;2025-04-10 17:00:00;95000;REF_BANK_036;1;235;1036;2025-04-10 17:00:00;2025-04-10 17:00:00;;;NULL;36;;;3035
6037;TK20250410037;88750;QR_SEP_037_EFG890;2025-04-15 10:00:00;2025-04-15 14:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;136;236;2025-04-10 16:25:00;2025-04-10 16:25:00;2025-04-15 14:30:00;;NULL;37;;;3036
6038;TK20250505038;84000;QR_VNPAY_038_HIJ123;2025-05-10 12:00:00;2025-05-10 16:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;137;237;2025-05-05 17:35:00;2025-05-05 17:35:00;2025-05-05 17:35:00;;NULL;38;;;3037
6039;TK20250601039;84167;QR_MOMO_039_JKL456;2025-06-05 19:00:00;2025-06-05 23:00:00;1;CANCELLED;;;;;;;;NULL;NULL;NULL;1;138;238;2025-06-01 18:10:00;2025-06-01 18:10:00;2025-06-01 19:00:00;;NULL;39;;;3038
6040;TK20250720040;112500;QR_CC_040_MNO789;2025-07-25 08:00:00;2025-07-25 12:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;139;239;2025-07-20 19:45:00;2025-07-20 19:45:00;2025-07-25 12:30:00;;NULL;40;;;3039
6041;TK20250815041;86667;QR_ZLP_041_PQR012;2025-08-20 16:00:00;2025-08-20 20:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;140;240;2025-08-15 20:55:00;2025-08-15 20:55:00;2025-08-20 20:30:00;;NULL;41;;;3040
6042;TK20250901042;98333;QR_BANK_042_STU345;2025-09-05 11:00:00;2025-09-05 15:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;141;241;2025-09-01 22:00:00;2025-09-01 22:00:00;2025-09-01 22:00:00;;NULL;42;;;3041
6043;TK20251010043;93750;QR_SEP_043_VWX678;2025-10-15 09:00:00;2025-10-15 13:00:00;1;CANCELLED;;;;;;;;NULL;NULL;NULL;1;142;242;2025-10-10 22:10:00;2025-10-10 22:10:00;2025-10-10 23:00:00;;NULL;43;;;3042
6044;TK20251105044;87000;QR_VNPAY_044_YZA901;2025-11-10 07:00:00;2025-11-10 11:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;143;243;2025-11-05 23:15:00;2025-11-05 23:15:00;2025-11-10 11:30:00;;NULL;44;;;3043
6045;TK20250120045;86667;QR_MOMO_045_ABC234;2025-01-25 14:00:00;2025-01-25 18:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;144;244;2025-01-20 23:50:00;2025-01-20 23:50:00;2025-01-20 23:50:00;;NULL;45;;;3044
6046;TK20250215046;80000;QR_CC_046_DEF567;2025-02-20 08:00:00;2025-02-20 12:00:00;1;REFUNDED;;REFUND_COMPLETED;;Trip cancelled;NULL;NULL;2025-03-10 02:00:00;2025-03-10 02:30:00;80000;REF_CC_046;1;245;1046;2025-03-10 02:30:00;2025-03-10 02:30:00;;;NULL;46;;;3045
6047;TK20250310047;86250;QR_ZLP_047_GHI890;2025-03-15 13:00:00;2025-03-15 17:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;146;246;2025-03-10 02:00:00;2025-03-10 02:00:00;2025-03-15 17:30:00;;NULL;47;;;3046
6048;TK20250405048;101667;QR_BANK_048_JKL123;2025-04-10 07:30:00;2025-04-10 11:30:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;147;247;2025-04-05 02:50:00;2025-04-05 02:50:00;2025-04-10 11:45:00;;NULL;48;;;3047
6049;TK20250520049;98750;QR_SEP_049_MNO456;2025-05-25 10:00:00;2025-05-25 14:00:00;;BOOKED;;;;;;;;NULL;NULL;NULL;1;148;248;2025-05-20 04:00:00;2025-05-20 04:00:00;2025-05-20 04:00:00;;NULL;49;;;3048
6050;TK20250615050;90000;QR_VNPAY_050_PQR789;2025-06-20 12:00:00;2025-06-20 16:00:00;1;AVAILABLE;;;;;;;;NULL;NULL;NULL;1;149;249;2025-06-15 04:10:00;2025-06-15 04:10:00;2025-06-20 16:30:00;;NULL;50;;;3049
