id;transaction_id;order_ref;method;status;amount;time;gateway_create_date;gateway_note;created_at;updated_at;is_deleted;deleted_at;deleted_by
2024;SEP20250330024;ORD20250330024;SEPAY;PROCESSING;245000;;20250330030000;Verification pending;2025-03-30 03:00:00;2025-03-30 03:00:00;false;;NULL
2025;VNPAY20250420025;ORD20250420025;VNPAY;SUCCESS;320000;2025-04-20 04:15:00;20250420041500;Payment confirmed;2025-04-20 04:10:00;2025-04-20 04:15:00;false;;NULL
2026;MOMO20250510026;ORD20250510026;MOMO;REFUNDED;275000;2025-05-10 05:30:00;20250510053000;Refund issued;2025-05-10 04:20:00;2025-05-10 05:30:00;false;;NULL
2027;CC20250605027;ORD20250605027;CREDIT_CARD;SUCCESS;460000;2025-06-05 06:45:00;20250605064500;Card charged;2025-06-05 06:40:00;2025-06-05 06:45:00;false;;NULL
2028;ZLP20250701028;ORD20250701028;ZALOPAY;PROCESSING;195000;;20250701070000;Processing request;2025-07-01 07:00:00;2025-07-01 07:00:00;false;;NULL
2029;BANK20250815029;ORD20250815029;BANK_TRANSFER;INITIATED;720000;;20250815080000;Awaiting bank;2025-08-15 08:00:00;2025-08-15 08:00:00;false;;NULL
2030;SEP20250920030;ORD20250920030;SEPAY;SUCCESS;255000;2025-09-20 09:15:00;20250920091500;Payment verified;2025-09-20 09:10:00;2025-09-20 09:15:00;false;;NULL
2031;VNPAY20251010031;ORD20251010031;VNPAY;FAILED;335000;2025-10-10 10:30:00;20251010103000;Payment declined;2025-10-10 10:25:00;2025-10-10 10:30:00;false;;NULL
2032;MOMO20251105032;ORD20251105032;MOMO;SUCCESS;405000;2025-11-05 11:45:00;20251105114500;Payment complete;2025-11-05 11:40:00;2025-11-05 11:45:00;false;;NULL
2033;CC20250125033;ORD20250125033;CREDIT_CARD;REQUIRES_MANUAL_REVIEW;485000;2025-01-25 12:55:00;20250125125500;Manual review required;2025-01-25 12:50:00;2025-01-25 12:55:00;false;;NULL
2034;ZLP20250220034;ORD20250220034;ZALOPAY;SUCCESS;210000;2025-02-20 14:05:00;20250220140500;Transaction approved;2025-02-20 14:00:00;2025-02-20 14:05:00;false;;NULL
2035;BANK20250315035;ORD20250315035;BANK_TRANSFER;PROCESSING;650000;;20250315150000;Bank verification;2025-03-15 15:00:00;2025-03-15 15:00:00;false;;NULL
2036;SEP20250410036;ORD20250410036;SEPAY;REFUNDED;285000;2025-04-10 16:15:00;20250410161500;Refund processed;2025-04-10 13:00:00;2025-04-10 16:15:00;false;;NULL
2037;VNPAY20250505037;ORD20250505037;VNPAY;SUCCESS;355000;2025-05-05 17:25:00;20250505172500;Payment successful;2025-05-05 17:20:00;2025-05-05 17:25:00;false;;NULL
2038;MOMO20250601038;ORD20250601038;MOMO;INITIATED;420000;;20250601180000;Payment started;2025-06-01 18:00:00;2025-06-01 18:00:00;false;;NULL
2039;CC20250720039;ORD20250720039;CREDIT_CARD;FAILED;505000;2025-07-20 19:35:00;20250720193500;Card declined;2025-07-20 19:30:00;2025-07-20 19:35:00;false;;NULL
2040;ZLP20250815040;ORD20250815040;ZALOPAY;SUCCESS;225000;2025-08-15 20:45:00;20250815204500;Payment completed;2025-08-15 20:40:00;2025-08-15 20:45:00;false;;NULL
2041;BANK20250901041;ORD20250901041;BANK_TRANSFER;SUCCESS;780000;2025-09-01 21:55:00;20250901215500;Transfer confirmed;2025-09-01 16:00:00;2025-09-01 21:55:00;false;;NULL
2042;SEP20251010042;ORD20251010042;SEPAY;PROCESSING;295000;;20251010220000;Processing payment;2025-10-10 22:00:00;2025-10-10 22:00:00;false;;NULL
2043;VNPAY20251105043;ORD20251105043;VNPAY;PAYMENT_SUCCESS_BUT_BOOKING_EXPIRED;375000;2025-11-05 23:05:00;20251105230500;Booking expired;2025-11-05 22:50:00;2025-11-05 23:05:00;false;;NULL
2044;MOMO20250120044;ORD20250120044;MOMO;SUCCESS;435000;2025-01-20 23:40:00;20250120234000;Payment verified;2025-01-20 23:35:00;2025-01-20 23:40:00;false;;NULL
2045;CC20250215045;ORD20250215045;CREDIT_CARD;INITIATED;520000;;20250215002000;Card processing;2025-02-15 00:00:00;2025-02-15 00:00:00;false;;NULL
2046;ZLP20250310046;ORD20250310046;ZALOPAY;REFUNDED;240000;2025-03-10 01:50:00;20250310015000;Refund issued;2025-03-10 01:20:00;2025-03-10 01:50:00;false;;NULL
2047;BANK20250405047;ORD20250405047;BANK_TRANSFER;FAILED;690000;2025-04-05 02:40:00;20250405024000;Bank rejected;2025-04-05 01:30:00;2025-04-05 02:40:00;false;;NULL
2048;SEP20250520048;ORD20250520048;SEPAY;SUCCESS;305000;2025-05-20 03:55:00;20250520035500;Transaction complete;2025-05-20 03:50:00;2025-05-20 03:55:00;false;;NULL
2049;VNPAY20250615049;ORD20250615049;VNPAY;PROCESSING;395000;;20250615040000;Processing payment;2025-06-15 04:00:00;2025-06-15 04:00:00;false;;NULL
2050;MOMO20250710050;ORD20250710050;MOMO;SUCCESS;450000;2025-07-10 05:10:00;20250710051000;Payment successful;2025-07-10 05:05:00;2025-07-10 05:10:00;false;;NULL
